"","x"
"1319","5917"
"1320","5918"
"1321","5926"
"1322","5927"
"1323","5933"
"1324","5938"
"1325","5941"
"1326","5945"
"1327","5953"
"1328","5955"
"1329","5956"
"1330","5957"
"1331","5962"
"1332","5963"
"1333","5964"
"1334","5965"
"1335","5967"
"1336","5978"
"1337","5980"
"1338","5984"
"1339","5985"
"1340","5986"
"1341","5991"
"1342","6002"
"1343","6003"
"1344","6005"
"1345","6018"
"1346","6024"
"1347","6026"
"1348","6036"
"1349","6042"
"1350","6046"
"1351","6051"
"1352","6052"
"1353","6053"
"1354","6059"
"1355","6061"
"1356","6066"
"1357","6068"
"1358","6069"
"1359","6071"
"1360","6072"
"1361","6074"
"1362","6075"
"1363","6076"
"1364","6078"
"1365","6082"
"1366","6085"
"1367","6102"
"1368","6106"
"1369","6110"
"1370","6111"
"1371","6113"
"1372","6120"
"1373","6121"
"1374","6122"
"1375","6123"
"1376","6128"
"1377","6130"
"1378","6132"
"1379","6136"
"1380","6141"
"1381","6154"
"1382","6163"
"1383","6166"
"1384","6167"
"1385","6168"
"1386","6173"
"1387","6174"
"1388","6176"
"1389","6184"
"1390","6193"
"1391","6196"
"1392","6197"
"1393","6198"
"1394","6199"
"1395","6201"
"1396","6202"
"1397","6205"
"1398","6209"
"1399","6218"
"1400","6226"
"1401","6227"
"1402","6229"
"1403","6233"
"1404","6234"
"1405","6236"
"1406","6237"
"1407","6239"
"1408","6240"
"1409","6241"
"1410","6242"
"1411","6252"
"1412","6263"
"1413","6264"
"1414","6276"
"1415","6277"
"1416","6281"
"1417","6283"
"1418","6292"
"1419","6296"
"1420","6301"
"1421","6317"
"1422","6318"
"1423","6321"
"1424","6324"
"1425","6326"
"1426","6328"
"1427","6333"
"1428","6337"
"1429","6339"
"1430","6344"
"1431","6347"
"1432","6351"
"1433","6353"
"1434","6355"
"1435","6356"
"1436","6357"
"1437","6359"
"1438","6365"
"1439","6366"
"1440","6368"
"1441","6372"
"1442","6373"
"1443","6378"
"1444","6396"
"1445","6399"
"1446","6404"
"1447","6426"
"1448","6427"
"1449","6428"
"1450","6429"
"1451","6431"
"1452","6436"
"1453","6437"
"1454","6438"
